Codigo_Item,Descripcion_Item
99326,EVALUACIÓN Y MANEJO DE UN PACIENTE NUEVO EN ASILOS, CASAS DE REPOSO, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍASORFANATOS, GUARDERÍAS O SIMILARES, DE GRAVEDAD LEVE
99327,EVALUACIÓN Y MANEJO DE UN PACIENTE NUEVO EN ASILOS, CASAS DE REPOSO, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES, DE GRAVEDAD MODERADA
99328,EVALUACIÓN Y MANEJO DE UN PACIENTE NUEVO EN ASILOS, CASAS DE REPOSO, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES, DE GRAVEDAD SEVERA
99334,EVALUACIÓN Y MANEJO DE UN PACIENTE CONTINUADOR EN ASILOS, CASAS DE REPOSO, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES, QUE NO TIENE ENFERMEDAD
99335,EVALUACIÓN Y MANEJO DE UN PACIENTE CONTINUADOR EN ASILOS, CASAS DE REPOSO, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES,DE GRAVEDAD LEVE
99336,EVALUACIÓN Y MANEJO DE UN PACIENTE CONTINUADOR EN ASILOS, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES, DE GRAVEDAD MODERADA
99337,EVALUACIÓN Y MANEJO DE UN PACIENTE CONTINUADOR EN ASILOS, HOGARES DE PACIENTES DE ADULTO MAYOR, HOGARES INFANTILES. ORFANATOS, GUADERÍAS O SIMILARES, DE GRAVEDAD SEVERA
99339,SUPERVISIÓN MÉDICA INDIVIDUAL DE UN PACIENTE (EL PACIENTE NO ESTÁ PRESENTE) EN CASA, ASILO O CASA DE REPOSO, HOGAR DE PACIENTES DE ADULTO MAYOR (P. EJ. INSTALACIONES DE CUIDADO PROLONGADO) QUE REQUIERE ATENCIÓN COMPLEJA Y MODALIDADES DE CUIDADO INTERDISCI
99340,SUPERVISIÓN MÉDICA INDIVIDUAL DE UN PACIENTE (EL PACIENTE NO ESTÁ PRESENTE) EN CASA, ASILO O CASA DE REPOSO, HOGAR DE PACIENTES DE ADULTO MAYOR (P. EJ. INSTALACIONES DE CUIDADO PROLONGADO) QUE REQUIERE ATENCIÓN COMPLEJA Y MODALIDADES DE CUIDADO INTERDISCI
99341,CONSULTA A DOMICILIO PARA LA EVALUACIÓN Y MANEJO DE UN PACIENTE NUEVO DE NO GRAVEDAD
99342,VISITA MEDICA DOMICILIARIA
99343,VISITA MÉDICA DOMICILIARIA ESPECIALIZADA
99344,VISITA FAMILIAR INTEGRAL
99345,CONSULTA A DOMICILIO PARA LA EVALUACIÓN Y MANEJO DE UN PACIENTE NUEVO DE GRAVEDAD SEVERA
99347,CONSULTA A DOMICILIO PARA EL MANEJO Y EVALUACIÓN DE UN PACIENTE CONTINUADOR DE NO GRAVEDAD
99348,CONSULTA A DOMICILIO PARA EL MANEJO Y EVALUACIÓN DE UN PACIENTE CONTINUADOR DE GRAVEDAD LEVE
99349,CONSULTA A DOMICILIO PARA EL MANEJO Y EVALUACIÓN DE UN PACIENTE CONTINUADOR DE GRAVEDAD MODERADA
99350,CONSULTA A DOMICILIO PARA EL MANEJO Y EVALUACIÓN DE UN PACIENTE CONTINUADOR DE GRAVEDAD SEVERA
99351,CONSULTA DE ATENCION PREVENTIVA DE ITS/VIH A POBLACION CLAVE
99366,REUNIÓN DEL O LOS MÉDICOS TRATANTES CON EL EQUIPO INTERDISCIPLINARIO DE PROFESIONALES DE LA SALUD (PARTICIPACIÓN DE PROFESIONAL NO MÉDICOS DE LA SALUD), FRENTE A FRENTE CON EL PACIENTE Y/O FAMILIA. LA REUNIÓN TENDRÁ UNA DURACIÓN DE 30 MINUTOS O MÁS
99367,JUNTA MÉDICA DEL O LOS MÉDICOS TRATANTES CON EL EQUIPO INTERDISCIPLINARIO DE PROFESIONALES DE LA SALUD, (PARTICIPACIÓN DE MÉDICOS) SIN LA PRESENCIA DEL PACIENTE Y/O FAMILIA. LA REUNIÓN TENDRÁ UNA DURACIÓN DE 30 MINUTOS O MÁS
99368,REUNIÓN DEL O LOS MÉDICOS TRATANTES CON EL EQUIPO INTERDISCIPLINARIO DE PROFESIONALES DE LA SALUD (PARTICIPACIÓN DE PROFESIONAL NO MÉDICOS DE LA SALUD), SIN LA PRESENCIA DEL PACIENTE Y/O FAMILIA. LA REUNIÓN TENDRÁ UNA DURACIÓN DE 30 MINUTOS O MÁS
99374,SUPERVISIÓN MÉDICA DEL CUIDADO DE UN PACIENTE EN CASA
99381,ATENCIÓN INTEGRAL DE SALUD DEL NIÑO-CRED MENOR DE 1 AÑO
99381.01,ATENCIÓN INTEGRAL DE SALUD DEL NIÑO-CRED NEONATO
99381.02,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES EN EL NEONATO
99381.03,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES EN EL MENOR DE 1 AÑO
99382,ATENCIÓN INTEGRAL DE SALUD DEL NIÑO-CRED DE 1 A 4 AÑOS
99382.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES 1 A 4 AÑOS
99383,ATENCIÓN INTEGRAL DE SALUD DEL NIÑO-CRED DE 5 A 11 AÑOS
99383.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES 5 A 11 AÑOS
99384,ATENCIÓN INICIAL Y EXHAUSTIVA DE MEDICINA PREVENTIVA PARA EL ADOLESCENTE (12 A 17 AÑOS)
99384.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES PARA EL ADOLESCENTE
99384.02,EVALUACIÓN DEL DESARROLLO SEXUAL SEGÚN TANNER
99385,ATENCIÓN INICIAL Y EXHAUSTIVA DE MEDICINA PREVENTIVA PARA EL JOVEN (18 A 29 AÑOS)
99385.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES PARA EL JOVEN
99385.02,ATENCIÓN PRECONCEPCIONAL (18 A 39 AÑOS)
99386,ATENCIÓN INICIAL Y EXHAUSTIVA DE MEDICINA PREVENTIVA PARA EL ADULTO (30 A 59 AÑOS)
99386.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES PARA EL ADULTO
99386.02,ATENCIÓN PRECONCEPCIONAL (> 40 AÑOS)
99387,ATENCIÓN INICIAL Y EXHAUSTIVA DE MEDICINA PREVENTIVA PARA EL ADULTO MAYOR 60 AÑOS
99387.01,ATENCIÓN PREVENTIVA DE ENFERMEDADES PREVALENTES PARA EL ADULTO MAYOR
99391,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO DEL NIÑO MENOR DE 1 AÑO
99392,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO DEL NIÑO DE 1 A 4 AÑOS
99393,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO DEL NIÑO DE 5 A 11 AÑOS
99394,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO PARA EL ADOLESCENTE (12 A 17 AÑOS)
99395,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO PARA EL JOVEN (18 A 29 AÑOS)
99396,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO PARA EL ADULTO (30 A 59 AÑOS)
99397,REEVALUACIÓN PERIÓDICA DE MEDICINA PREVENTIVA Y MANEJO PARA EL ADULTO MAYOR DE 60 AÑOS
99401,CONSEJERIA INTEGRAL
99401.01,CONSEJERÍA EN EL APEGO Y COMUNICACIÓN
99401.02,CONSEJERÍA EN IMPORTANCIA DE LA LACTANCIA MATERNA EN LA PRIMERA HORA, LACTANCIA MATERNA EXCLUSIVA. TÉCNICAS DE AMAMANTAMIENTO, EXTRACCIÓN Y ALMACENAMIENTO DE LA LECHE
99401.03,CONSEJERÍA EN LACTANCIA MATERNA EXCLUSIVA HASTA LOS 06 MESES
99401.04,CONSEJERÍA EN CORTE Y CUIDADO DEL CORDÓN UMBILICAL
99401.05,CONSEJERÍA EN ATENCIÓN TEMPRANA DEL DESARROLLO
99401.06,CONSEJERÍA EN IMPORTANCIA DEL CONTROL DE CRECIMIENTO Y DESARROLLO (4 CONTROLES)
99401.07,CONSEJERÍA EN INMUNIZACIONES
99401.08,CONSEJERÍA DE IDENTIFICACIÓN DE SIGNOS DE ALARMA
99401.09,CONSEJERÍA PARA LA PREVENCIÓN DE MUERTE SÚBITA DEL LACTANTE
99401.1,CONSEJERÍA EN HIGIENE DEL RECIÉN NACIDO, NIÑO O NIÑA Y CUIDADO EN EL HOGAR
99401.11,CONSEJERÍA PARA LA PREVENCIÓN DE ACCIDENTES
99401.12,CONSEJERÍA PARA LA PREVENCIÓN DE EDA
99401.13,CONSEJERÍA EN ESTILOS DE VIDA SALUDABLE
99401.14,CONSEJERÍA DE SALUD RESPIRATORIA PARA MADRE AFECTADA DE TUBERCULOSIS
99401.15,CONSEJERÍA EN HABILIDADES SOCIALES
99401.16,CONSEJERÍA EN SALUD OCULAR
99401.17,CONSEJERÍA Y ACOMPAÑAMIENTO EN ALIMENTACIÓN CON SUCEDÁNEOS DE LECHE MATERNA A NEONATOS EXPUESTOS AL VIH
99401.18,CONSEJERÍA EN SALUD BUCAL
99401.19,CONSEJERÍA PARA EL AUTOCUIDADO
99401.2,CONSEJERÍA EN USO RACIONAL DE MEDICAMENTOS
99401.21,CONSEJERÍA EN FOMENTO DE LA INTEGRACIÓN SOCIAL
99401.22,CONSEJERÍA EN USO DEL TIEMPO LIBRE Y PARTICIPACIÓN EN CÍRCULOS DE ADULTOS MAYORES
99401.23,CONSEJERÍA EN RIESGO DE CONSUMO DE TABACO, COCA, ALCOHOL Y OTRAS SUSTANCIAS DAÑINAS
99401.24,CONSEJERÍA EN HIGIENE DE MANOS
99401.25,CONSEJERÍA EN PAUTAS DE CRIANZA, BUEN TRATO, COMUNICACIÓN Y CUIDADOS ADECUADOS
99401.26,CONSEJERÍA EN RESILIENCIA
99401.27,CONSEJERÍA EN DEBERES Y DERECHOS, EQUIDAD DE GÉNERO, INTERCULTURALIDAD
99401.28,CONSEJERÍA EN PATERNIDAD RESPONSABLE
99401.29,CONSEJERÍA EN CONVIVENCIA SALUDABLE EN PAREJA
99401.3,CONSEJERÍA EN PREVENCIÓN DE ENFERMEDADES TRANSMISIBLES
99401.31,CONSEJERÍA EN PREVENCIÓN DE ENFERMEDADES NO TRANSMISIBLES: DIABETES, HIPERTENSIÓN, OSTEOPOROSIS ENTRE OTRAS
99401.32,CONSEJERÍA EN MEDICINA ALTERNATIVA Y COMPLEMENTARIA - MAC
99401.33,CONSEJERIA PRE TEST PARA VIH
99401.34,CONSEJERIA POST TEST PARA VIH - RESULTADO NO REACTIVO
99402,CONSEJERIA PLANIFICACION FAMILIAR
99402.01,CONSEJERÍA EN IDENTIFICACIÓN DE SIGNOS DE ALARMA DURANTE LA GESTACIÓN, PARTO Y PUERPERIO (DISMINUCIÓN DE MOVIMIENTOS FETALES, DISURIA, FIEBRE, SANGRADO VAGINAL, DOLOR ABDOMINAL, CEFALEA, CONVULSIONES, MAREOS, TINNITUS, ESCOTOMAS, ACÚFENOS, EPIGASTRALGIA,
99402.02,CONSEJERÍA EN PREVENCIÓN Y CONTROL DE LA ANEMIA POR DEFICIENCIA DE HIERRO HIPERGLICEMIA Y DISLIPIDEMIA
99402.03,CONSEJERÍA/ORIENTACIÓN EN SALUD SEXUAL Y REPRODUCTIVA
99402.04,CONSEJERÍA/ORIENTACIÓN EN PLANIFICACIÓN FAMILIAR
99402.05,CONSEJERÍA/ORIENTACIÓN EN PREVENCIÓN DE ITS, VIH, HEPATITIS B
99402.06,CONSEJERÍA/ORIENTACIÓN EN PERIMENOPAUSIA, MENOPAUSIA Y CLIMATERIO
99402.07,CONSEJERÍA/ORIENTACIÓN PARA AE
99402.08,CONSEJERÍA EN PREVENCIÓN DE CÁNCER
99402.09,CONSEJERÍA DE PREVENCIÓN DE RIESGOS EN SALUD MENTAL
99402.1,CONSEJERÍA EN PROBLEMAS DE VIOLENCIA, ABUSO SEXUAL, ABANDONO
99402.11,CONSEJERÍA EN CULTURA DE PAZ
99402.12,CONSEJERÍA/ORIENTACIÓN DE PREVENCIÓN DE VIOLENCIA BASADA EN GÉNERO
99402.13,CONSEJERÍA/ORIENTACIÓN EN CASOS DE VIOLENCIA BASADA EN GÉNERO
99402.14,CONSEJERÍA EN PROMOCIÓN DEL BUEN TRATO Y SALUD MENTAL
99402.15,CONSEJERÍA EN CONTROL VECTORIAL
99402.16,CONSEJERIA DE SOPORTE A PERSONAS QUE VIVEN CON VIH/SIDA (PVVS)
99403,CONSEJERIA NUTRICIONAL
99403.01,CONSEJERÍA NUTRICIONAL: ALIMENTACIÓN SALUDABLE
99403.02,CONSEJERÍA EN PREVENCIÓN DE CÁNCER
99403.03,CONSEJERIA POST TEST PARA VIH - RESULTADO REACTIVO
99404,CONSEJERIA ESPECIAL (VIH/SALUD MENTAL)
99411,SESION DE ESTIMULACION TEMPRANA
99411.01,ATENCIÓN TEMPRANA DEL DESARROLLO. AREAS: LENGUAJE, MOTORA, DE COORDINACIÓN Y SOCIAL)/SESIÓN. EN MENOR DE 1 AÑO
99411.02,ATENCIÓN TEMPRANA DEL DESARROLLO. AREAS: LENGUAJE, MOTORA, DE COORDINACIÓN Y SOCIAL)/SESIÓN. 1 A 4 AÑOS
99412,CONSEJERÍA EN MEDICINA PREVENTIVA Y/O PROVISIÓN DE INTERVENCIONES DE REDUCCIÓN DE FACTORES DE RIESGO, PROPORCIONADOS A INDIVIDUOS EN GRUPO, DURANTE APROXIMADAMENTE 60 MINUTOS
99412.01,CONSEJERÍA EN MEDICINA PREVENTIVA Y/O PROVISIÓN DE INTERVENCIONES DE REDUCCIÓN DE FACTORES DE RIESGO, PROPORCIONADOS A INDIVIDUOS EN GRUPO, DURANTE APROXIMADAMENTE 60 MINUTOS . ESTIMULACIÓN PRENATAL
99412.02,CONSEJERÍA EN MEDICINA PREVENTIVA Y/O PROVISIÓN DE INTERVENCIONES DE REDUCCIÓN DE FACTORES DE RIESGO, PROPORCIONADOS A INDIVIDUOS EN GRUPO, DURANTE APROXIMADAMENTE 60 MINUTOS . PSICOPROFILAXIS OBSTÉTRICA
99422,CONSEJERÍA GESTANTE EN CASA MATERNA
99431,ANAMNESIS Y EL EXAMEN FÍSICO DEL RECIÉN NACIDO NORMAL
99431.01,IDENTIFICACIÓN DE HIPOACUSIA
99431.02,IDENTIFICACIÓN DE CATARATA CONGÉNITA
99432,CUIDADO DEL RECIÉN NACIDO NORMAL EN UNA INSTALACIÓN NO HOSPITALARIA O FUERA DE UNA SALA DE PARTOS
99433,EVALUACIÓN Y MANEJO DIARIO DE UN RECIEN NACIDO NORMAL HOSPITALIZADO
99435,ANAMNESIS Y EL EXAMEN FÍSICO DEL RECIÉN NACIDO NORMAL, INCLUYE PREPARACIÓN DE HISTORIA CLÍNICA
99436,ATENCIÓN DEL RECIÉN NACIDO INMEDIATAMENTE DESPUES DEL PARTO
99436.01,IDENTIFICACIÓN DE DAÑO/MALFORMACIÓN CONGÉNITA EN R.N. QUE REQUIERA REHABILITACIÓN
99440,REANIMACIÓN DE RECIÉN NACIDOS: SUMINISTRO DE VENTILACIÓN CON PRESIÓN POSITIVA Y/O COMPRESIONES DE PECHO EN PRESENCIA DE GASTO CARDIACO Y/O VENTILACIÓN INADECUADA AGUDA
99441,TRASLADO DE PACIENTE O HERIDO EN CONDICIONES EN QUE NO ESTÁ EN RIESGO POTENCIAL SU VIDA Y SALUD
99441.01,REFERENCIA A EESS DE MAYOR CAPACIDAD RESOLUTIVA PARA REHABILITACIÓN EN NEONATO
99442,TRANSPORTE ASISTIDO DE PACIENTE O HERIDO CON ASISTENCIA MÉDICA BÁSICA Y CONDICIONES ESPECIALES PARA EL TRASLADO
99443,TRANSPORTE ASISTIDO DE PACIENTE O HERIDO EN ESTADO CRÍTICO O DE ALTO RIESGO QUE REQUIEREN ASISTENCIA MÉDICA AVANZADA DURANTE EL TRASLADO
99450,SERVICIOS DE EVALUACIÓN PARA CERTIFICACIÓN MÉDICA DE SALUD
99450.01,SERVICIO DE EVALUACIÓN, CALIFICACIÓN Y CERTIFICACIÓN DE LA DISCAPACIDAD
99455,SERVICIOS DE EVALUACIÓN PARA CERTIFICACIÓN MÉDICA DE INCAPACIDAD MÉDICA O LABORAL POR EL MÉDICO TRATANTE
99456,SERVICIOS DE EVALUACIÓN PARA CERTIFICACIÓN MÉDICA DE INCAPACIDAD MÉDICA O LABORAL POR OTRO MÉDICO DIFERENTE DEL MÉDICO TRATANTE
99460,ATENCION INMEDIATA DEL RECIEN NACIDO
99465,RESUCITACIÓN EN LA SALA DE PARTOS/NACIMIENTOS, PROVISIÓN DE VENTILACIÓN DE PRESIÓN POSITIVA Y/O COMPRESIÓN TORÁCICA EN PRESENCIA DE EMERGENCIA POR VENTILACIÓN INADECUADA Y/O GASTO CARDIACO
99466,"SERVICIOS DE CUIDADOS CRÍTICOS BRINDADOS POR MÉDICO, CARA A CARA, DURANTE UN TRANSPORTE ASISTIDO DE PACIENTE PEDIÁTRICO CRÍTICO O CRÍTICAMENTE LESIONADO, 24 MESES DE EDAD O MENOR, PRIMEROS 30-74 MINUTOS DE ATENCIÓN DIRECTA DURANTE EL TRANSPORTE"
99467,"SERVICIOS DE CUIDADOS CRÍTICOS BRINDADOS POR MÉDICO, CARA A CARA, DURANTE UN TRANSPORTE ASISTIDO DE PACIENTE PEDIÁTRICO CRÍTICO O CRÍTICAMENTE LESIONADO, 24 MESES DE EDAD O MENOR, CADA 30 MINUTOS ADICIONALES (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA"
99468,ATENCIÓN INICIAL CRÍTICA DE INTERNAMIENTO, POR DÍA PARA LA EVALUACIÓN Y MANEJO DE NEONATO EN CONDICIÓN CRÍTICA, 28 DÍAS DE EDAD O MENOR
99469,ATENCIÓN NEONATAL CRÍTICA SUBSIGUIENTE EN INTERNAMIENTO, POR DÍA, PARA LA EVALUACIÓN Y MANEJO DE UN NEONATO EN CONDICIONES CRÍTICAS, 28 DÍAS DE EDAD O MENOR
99471,HOSPITALIZACIÓN INICIAL PEDIÁTRICA DE CUIDADOS INTENSIVOS, POR DÍA, PARA LA EVALUACIÓN Y GESTIÓN DE UN NIÑO GRAVEMENTE ENFERMO O UN NIÑO PEQUEÑO, 29 DÍAS A 24 MESES DE EDAD
99472,HOSPITALIZACIÓN POSTERIOR PEDIÁTRICA DE CUIDADOS INTENSIVOS, POR DÍA, PARA LA EVALUACIÓN Y GESTIÓN DE UN NIÑO GRAVEMENTE ENFERMO O UN NIÑO PEQUEÑO, 29 DÍAS A 24 MESES DE EDAD
99477,INICIO DE LA EVALUACIÓN Y MANEJO DIARIO DE UN RECIEN NACIDO HOSPITALIZADO
99478,ATENCIÓN INTENSIVA SUBSIGUIENTE, POR DÍA, PARA LA EVALUACIÓN Y MANEJO DEL NACIDO CON MUY BAJO BESO (PESO MENOR DE 1,500 GRAMOS)
99479,ATENCIÓN INTENSIVA SUBSIGUIENTE, POR DÍA, PARA LA EVALUACIÓN Y MANEJO DEL NACIDO CON BAJO BESO (PESO DE 1,500 A 2,500 GRAMOS)
99480,ATENCIÓN INTENSIVA SUBSIGUIENTE, POR DÍA, PARA LA EVALUACIÓN Y MANEJO DEL LACTANTE EN RECUPERACIÓN (PESO DE 2,501 A 5,000 GRAMOS)
99489,ATENCIÓN CUIDADOS PALIATIVOS
99489.01,ATENCIÓN CUIDADOS PALIATIVOS: CURACIONES DE BAJA COMPLEJIDAD (EJ. ÚLCERAS POR PRESIÓN)
99489.02,ATENCIÓN CUIDADOS PALIATIVOS: MANEJO DEL DOLOR
99489.03,ATENCIÓN CUIDADOS PALIATIVOS: SEGUIMIENTO DEL TRATAMIENTO Y DE LOS CUIDADOS DEL PACIENTE EN EL HOGAR
99489.04,ATENCIÓN CUIDADOS PALIATIVOS: CAPACITACIÓN AL CUIDADOR
99499,TELEMEDICINA
99499.01,TELECONSULTA EN LÍNEA
99499.02,TELEECOGRAFÍA EN LÍNEA
99499.03,TELECONSULTA FUERA DE LÍNEA
99499.04,TELEECOGRAFÍA + TELECONSULTA EN LÍNEA
99499.05,TELERADIOGRAFÍA FUERA DE LÍNEA
99499.06,TELETOMOGRAFÍA FUERA DE LÍNEA
99499.07,TELEMAMOGRAFÍA FUERA DE LÍNEA
99500,VISITA DOMICILIARIA PARA QUE EL MONITOREO Y EVALUACIÓN PRENATAL QUE INCLUYEN RITMO CARDIACO FETAL, TEST NO ESTRESANTE, MONITOREO UTERINO Y MONITOREO DE LA DIABETES GESTACIONAL
99501,VISITA DOMICILIARIA PARA EVALUACIÓN POSTNATAL Y SEGUIMIENTO
99502,VISITA DOMICILIARIA PARA CUIDADO Y EVALUACIÓN NEONATAL
99503,VISITA DOMICILIARIA PARA TERAPIA RESPIRATORIA EJ. BRONCODILATADOR, TERAPIA DE OXÍGENO, EVALUACIÓN RESPIRATORIA, EVALUACIÓN DEL APNEA)
99504,VISITA DOMICILIARIA PARA CUIDADO DE LA VENTILACIÓN MECÁNICA
99505,VISITA DOMICILIARIA PARA CUIDADO Y MANTENIMIENTO DE OSTOMÍA, INCLUYENDO COLOSTOMÍA Y CISTOSTOMÍA
99506,VISITA DOMICILIARIA PARA INYECCIONES INTRAMUSCULARES
99507,VISITA DOMICILIARIA PARA CUIDADO Y MANTENIMIENTO DE CATÉTERES (EJ. URINARIO, DRENAJE Y ENTERALES)
99509,VISITA DOMICILIARIA PARA LA AYUDA CON ACTIVIDADES DE LA VIDA DIARIA Y DEL CUIDADO PERSONAL
99510,VISITA DOMICILIARIA PARA EL INDIVIDUO, LA FAMILIA Ó CONSEJO MATRIMONIAL
99511,VISITA DOMICILIARIA PARA EL MANEJO DE LA IMPACTACIÓN FECAL Y LA ADMINISTRACIÓN DE ENEMA
99512,VISITA DOMICILIARIA PARA HEMODIÁLISIS
99562,NUTRICIÓN PARENTERAL POR DÍA
99600,SERVICIOS O PROCEDIMIENTOS EN VISITA DOMICILIARIA
99601,ADMINISTRACIÓN DOMICILIARIA DE FÁRMACOS EN INFUSIÓN, CON UNA DURACIÓN DE HASTA 2 HORAS
99602,CADA HORA ADICIONAL DE ADMINISTRACIÓN DOMICILIARIA DE FÁRMACOS EN INFUSIÓN, DESPUÉS DE LAS PRIMERAS DOS HORAS
99605,SERVICIOS DE SEGUIMIENTO FARMACOTÉRAPEUTICO ES PROPORCIONADO POR EL QUÍMICO FARMACÉUTICO, EN ENTREVISTAS DIRECTAS CON EL PACIENTE O CUIDADOR, PARA EVALUAR E INTERVENIR EN RELACIÓN A LA FARMACOTERAPIA DEL PACIENTE, SI SE PROPORCIONA LOS PRIMEROS 15 MINUTOS
99606,SERVICIOS DE SEGUIMIENTO FARMACOTÉRAPEUTICO ES PROPORCIONADO POR EL QUÍMICO FARMACÉUTICO, EN ENTREVISTAS DIRECTAS CON EL PACIENTE O CUIDADOR, PARA EVALUAR E INTERVENIR EN RELACIÓN A LA FARMACOTERAPIA DEL PACIENTE, SI SE PROPORCIONA LOS PRIMEROS 15 MINUTOS
99607,SERVICIOS DE SEGUIMIENTO FARMACOTÉRAPEUTICO ES PROPORCIONADO POR EL QUÍMICO FARMACÉUTICO, EN ENTREVISTAS DIRECTAS CON EL PACIENTE O CUIDADOR, PARA EVALUAR E INTERVENIR EN RELACIÓN A LA FARMACOTERAPIA DEL PACIENTE, SI SE PROPORCIONA LOS PRIMEROS 15 MINUTOS
99700,REFERENCIA A EE.SS CON CAPACIDAD RESOLUTIVA
99701,CONTRARREFERENCIA
99800,DOCENCIA E INVESTIGACIÓN
99800.01,DOCENCIA E INVESTIGACIÓN DEL CAMPO CLÍNICO (EN SALUD INDIVIDUAL Y SALUD PÚBLICA)
99800.02,DOCENCIA E INVESTIGACIÓN DEL CAMPO CLÍNICO PARA CAPACITACIÓN DEL RECURSO HUMANO EN SALUD (EN SALUD INDIVIDUAL Y SALUD PÚBLICA)
99800.03,INVESTIGACIÓN OPERACIONAL
99800.04,PARTICIPACIÓN EN INVESTIGACIÓN CIENTÍFICA
9999,COMORBILIDAD EN VACUNACIÓN
A000,COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE
A001,COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR
A009,COLERA
A0090,SOSPECHOSO DE COLERA
A0091,SOSPECHOSO DE COLERA NO ESPECIFICADO SIN DESHIDRATACION
A0092,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION
A0093,SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION CON SHOCK
A010,FIEBRE TIFOIDEA
A0109,FIEBRE TIFOIDEA CON DIARREA
A011,FIEBRE PARATIFOIDEA A
A012,FIEBRE PARATIFOIDEA B
A013,FIEBRE PARATIFOIDEA C
A014,FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A0141,EXAMEN DENTAL POST MORTEN
A0142,ANALISIS DE MARCA DE MORDIDA
A0145,VISITA DE EMERGENCIA (FOCALIZADO AL PROBLEMA)
A020,ENTERITIS DEBIDA A SALMONELLA
A021,SEPTICEMIA DEBIDA A SALMONELLA
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029,INFECCION DEBIDA A SALMONELA, NO ESPECIFICADA
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038,OTRAS SHIGELOSIS
A039,SHIGUELLOSIS SIN ESPECIFICACION
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045,ENTERITIS DEBIDA A CAMPYLOBACTER
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049,INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051,BOTULISMO
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS CLOSTRIDIUM WELCHII]
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059,INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA
A060,DISENTERIA AMEBIANA AGUDA
A061,AMEBIASIS INTESTINAL CRONICA
A062,COLITIS AMEBIANA NO DISENTERICA
A063,AMEBOMA INTESTINAL
